id,frameRate,locationId,speedLimit,month,weekDay,startTime,duration,totalDrivenDistance,totalDrivenTime,numVehicles,numCars,numTrucks,upperLaneMarkings,lowerLaneMarkings
1,25,2,-1.0,9.2017,Tue,08:38,901.56,418549.19,13908.12,1047,863,184,8.51;12.59;16.43,21.00;24.96;28.80
2,25,2,-1.0,9.2017,Tue,09:04,1003.04,445570.5,15080.08,1113,852,261,8.67;12.51;16.35,21.03;24.88;28.72
3,25,2,-1.0,9.2017,Tue,09:54,1011.52,368101.36,12102.96,914,685,229,8.53;12.49;16.33,21.02;24.98;28.82
4,25,3,36.11,9.2017,Thu,11:16,1087.28,467788.55,15580.96,1163,823,340,13.15;16.97;20.62;24.35,26.35;30.09;33.65;37.56
5,25,3,36.11,9.2017,Thu,11:41,1143.28,486767.43,16052.88,1216,883,333,13.15;17.06;20.70;24.44,26.35;30.17;33.73;37.56
6,25,3,36.11,9.2017,Thu,12:06,1212.32,552436.4,18178.2,1368,1004,364,13.23;17.23;20.88;24.53,26.52;30.26;33.99;37.82
7,25,4,-1.0,9.2017,Fri,08:21,578.36,339559.2,10247.04,855,703,152,3.36;7.25;10.87;14.49,19.35;22.97;26.60;30.66
8,25,4,-1.0,9.2017,Fri,08:37,1093.24,643972.59,19225.28,1620,1305,315,3.53;7.50;11.13;14.75,19.70;23.23;27.03;30.92
9,25,4,-1.0,9.2017,Fri,09:24,1068.68,566614.1,17408.56,1420,1103,317,3.36;7.33;10.96;14.49,19.44;23.15;26.77;30.75
10,25,4,-1.0,9.2017,Fri,10:36,604.12,342234.61,10298.24,856,688,168,3.17;7.06;10.68;14.30,19.34;22.87;26.67;30.56
11,25,1,33.33,9.2017,Thu,16:18,611.08,712302.36,26279.8,1776,1573,203,3.65;7.62;11.42;15.22,20.88;24.86;28.48;32.54
12,25,1,33.33,9.2017,Thu,17:21,917.56,1098213.68,45206.12,2728,2480,248,7.92;11.89;15.69;19.58,25.03;28.92;32.72;36.87
13,25,1,33.33,9.2017,Thu,18:04,1070.4,1189922.5,41681.64,2949,2699,250,13.55;17.45;21.12;24.91,30.53;34.43;38.10;42.11
14,25,1,33.33,9.2017,Thu,18:28,1096.8,1144039.02,39150.6,2844,2580,264,8.10;12.08;15.79;19.77,25.04;29.19;32.82;36.97
15,25,5,-1.0,9.2017,Fri,08:49,723.56,368218.34,12408.84,922,720,202,7.68;11.77;15.61,20.53;24.62;28.58
16,25,5,-1.0,9.2017,Fri,09:11,946.64,403770.48,13482.16,998,771,227,7.92;11.89;15.85,20.65;24.74;28.58
17,25,5,-1.0,9.2017,Fri,09:35,911.92,391334.73,12906.92,977,793,184,7.68;11.89;15.73,20.53;24.50;28.46
18,25,5,-1.0,9.2017,Fri,10:07,583.12,242536.24,7611.52,607,504,103,7.68;11.77;15.73,20.41;24.62;28.34
19,25,5,-1.0,9.2017,Fri,10:24,963.8,404615.48,13091.8,999,838,161,8.16;12.13;15.97,20.65;24.62;28.58
20,25,5,-1.0,9.2017,Fri,10:47,1009.28,483680.89,16177.6,1199,955,244,7.82;11.79;15.75,20.43;24.51;28.36
21,25,5,-1.0,9.2017,Fri,11:10,1003.88,433570.18,14094.12,1077,898,179,7.94;11.91;15.75,20.55;24.51;28.48
22,25,5,-1.0,9.2017,Fri,11:44,532.28,274708.55,9420.6,689,571,118,7.94;11.79;15.75,20.43;24.51;28.36
23,25,5,-1.0,9.2017,Fri,12:06,956.76,528664.22,18630.04,1314,1059,255,7.82;11.91;15.75,20.43;24.39;28.36
24,25,5,-1.0,9.2017,Fri,12:27,966.04,521517.92,17588.6,1297,1083,214,7.82;11.91;15.75,20.43;24.39;28.36
25,25,1,33.33,10.2017,Mon,08:55,1178.4,1120346.1,80676.08,2850,2461,389,13.44;17.52;21.24;25.09,30.85;34.69;38.42;42.38
26,25,1,33.33,10.2017,Mon,09:20,1120.56,1074787.37,63332.92,2708,2301,407,3.47;7.27;10.98;14.87,20.61;24.41;28.13;32.01
27,25,1,33.33,10.2017,Mon,09:46,1208.84,1047069.6,38001.64,2599,2148,451,3.82;7.71;11.51;15.31,21.06;24.94;28.57;32.63
28,25,1,33.33,10.2017,Mon,10:12,1250.96,961476.56,32651.16,2372,1939,433,3.36;7.25;11.05;14.93,20.59;24.39;28.10;31.99
29,25,1,33.33,10.2017,Mon,10:39,1119.4,873214.28,30187.04,2152,1719,433,3.55;7.52;11.23;15.12,20.78;24.58;28.29;32.27
30,25,1,33.33,10.2017,Mon,11:03,1202.04,1004830.98,35222.04,2479,1952,527,3.65;7.71;11.51;15.22,20.88;24.86;28.48;32.46
31,25,1,33.33,10.2017,Mon,11:28,1118.04,916625.44,32265.48,2254,1793,461,3.55;7.52;11.23;15.03,20.78;24.58;28.20;32.27
32,25,1,33.33,10.2017,Mon,12:20,777.32,568180.35,19565.04,1410,1111,299,3.57;7.63;11.25;14.96,20.62;24.51;28.13;32.11
33,25,1,33.33,10.2017,Mon,12:41,1111.48,910897.14,32007.28,2252,1751,501,3.53;7.51;11.13;14.93,20.68;24.39;28.01;31.99
34,25,1,33.33,10.2017,Mon,13:34,844.16,716465.67,25375.52,1773,1432,341,3.45;7.25;10.96;14.76,20.42;24.22;27.84;31.73
35,25,1,33.33,10.2017,Wed,11:26,1084.8,805860.88,27578.92,1992,1510,482,3.73;7.53;11.24;15.31,20.96;24.94;28.56;32.63
36,25,1,33.33,10.2017,Wed,11:09,1241.52,1023137.72,37983.72,2543,1955,588,3.85;7.91;11.71;15.43,21.26;25.15;28.95;32.75
37,25,1,33.33,10.2017,Wed,11:55,1074.72,798443.56,27605.24,1984,1509,475,13.22;17.18;20.91;24.87,30.63;34.36;38.20;42.16
38,25,1,33.33,10.2017,Wed,12:20,1156.72,962627.28,33162.64,2380,1805,575,13.46;17.42;21.27;25.11,30.75;34.72;38.44;42.52
39,25,1,33.33,10.2017,Mon,09:04,1190.4,880515.67,29014.56,2191,1773,418,7.87;11.94;15.82;19.97,25.50;29.74;33.54;37.69
40,25,1,33.33,10.2017,Mon,09:30,1174.24,967435.63,31750.4,2399,1957,442,8.39;12.54;16.43;20.49,26.11;30.34;34.23;38.55
41,25,1,33.33,10.2017,Mon,10:41,1118.6,951993.93,31051.88,2363,1967,396,8.26;12.50;16.39;20.62,26.24;30.56;34.45;38.77
42,25,1,33.33,10.2017,Mon,11:05,1069.6,985247.91,32816.36,2444,2019,425,13.16;17.37;21.21;25.17,31.06;35.14;38.74;43.06
43,25,1,33.33,10.2017,Mon,11:31,1018.28,920387.8,30134.28,2271,1909,362,13.41;17.54;21.44;25.34,31.19;35.21;38.99;43.24
44,25,1,33.33,10.2017,Mon,11:54,1175.28,1028178.79,33975.04,2549,2074,475,13.36;17.57;21.41;25.37,31.01;35.34;38.94;43.26
45,25,1,33.33,10.2017,Mon,12:23,1113.04,988099.15,32529.76,2449,2034,415,13.37;17.45;21.25;25.33,30.98;35.15;38.86;43.21
46,25,1,33.33,11.2017,Wed,08:47,1188.92,1128768.61,43525.88,2821,2335,486,3.80;7.95;11.75;15.91,21.92;25.98;29.87;34.02
47,25,1,33.33,11.2017,Wed,09:15,1014.36,994011.48,34108.92,2462,1992,470,3.25;7.40;11.29;15.27,21.37;25.43;29.23;33.56
48,25,1,33.33,11.2017,Wed,09:38,1115.12,1028665.32,34698.4,2544,2013,531,3.77;7.83;11.81;15.87,21.88;25.86;29.66;33.81
49,25,1,33.33,11.2017,Wed,10:02,1034.12,846455.44,28252.04,2096,1618,478,3.66;7.73;11.53;15.59,21.60;25.66;29.55;33.79
50,25,1,33.33,11.2017,Wed,11:38,1135.52,901225.46,30140.28,2234,1688,546,13.39;17.52;21.42;25.43,31.40;35.53;39.31;43.56
51,25,1,33.33,11.2017,Wed,12:05,1106.8,922398.12,30684.56,2284,1716,568,3.09;7.25;10.96;15.02,21.12;25.10;28.90;33.14
52,25,1,33.33,11.2017,Wed,12:30,1009.2,852383.63,28410.2,2121,1600,521,3.36;7.42;11.22;15.20,21.21;25.36;29.25;33.40
53,25,1,33.33,11.2017,Wed,13:15,1058.16,991864.22,33463.56,2442,1892,550,8.19;12.43;16.40;20.46,26.34;30.40;34.29;38.53
54,25,1,33.33,1.2018,Thu,09:16,1071.0,947316.58,30885.2,2343,1902,441,8.11;12.25;16.23;20.20,25.91;29.97;33.77;38.18
55,25,1,33.33,1.2018,Thu,09:39,1063.28,886142.31,29405.96,2190,1754,436,8.05;12.11;16.00;20.15,25.76;29.91;33.54;37.86
